as_of_year,respondent_id,agency_name,agency_abbr,agency_code,loan_type_name,loan_type,property_type_name,property_type,loan_purpose_name,loan_purpose,owner_occupancy_name,owner_occupancy,loan_amount_000s,preapproval_name,preapproval,action_taken_name,action_taken,msamd_name,msamd,state_name,state_abbr,state_code,county_name,county_code,census_tract_number,applicant_ethnicity_name,applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_ethnicity,applicant_race_name_1,applicant_race_1,applicant_race_name_2,applicant_race_2,applicant_race_name_3,applicant_race_3,applicant_race_name_4,applicant_race_4,applicant_race_name_5,applicant_race_5,co_applicant_race_name_1,co_applicant_race_1,co_applicant_race_name_2,co_applicant_race_2,co_applicant_race_name_3,co_applicant_race_3,co_applicant_race_name_4,co_applicant_race_4,co_applicant_race_name_5,co_applicant_race_5,applicant_sex_name,applicant_sex,co_applicant_sex_name,co_applicant_sex,applicant_income_000s,purchaser_type_name,purchaser_type,denial_reason_name_1,denial_reason_1,denial_reason_name_2,denial_reason_2,denial_reason_name_3,denial_reason_3,rate_spread,hoepa_status_name,hoepa_status,lien_status_name,lien_status,edit_status_name,edit_status,sequence_number,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,application_date_indicator
2017,33-0941669,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,296,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Richmond County,85,291.02,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,2719,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2814,33.79999924,73700,130.8399963,787,1046,
2017,8531,Office of the Comptroller of the Currency,OCC,1,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,113,Not applicable,3,Application denied by financial institution,3,,,New York,NY,36,Allegany County,3,9503,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,106,Loan was not originated or was not sold in calendar year covered by register,0,Mortgage insurance denied,8,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4714,5.300000191,62500,87.58000183,1081,1899,
2017,146672,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,580,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,New York County,61,87,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Male,1,101,Loan was not originated or was not sold in calendar year covered by register,0,Credit application incomplete,7,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,7159,25.87000084,73700,269.5299988,1151,163,
2017,7197000003,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,252,Preapproval was not requested,2,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1104,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,126,Loan was not originated or was not sold in calendar year covered by register,0,Credit application incomplete,7,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4948,98.44000244,73700,89.58000183,476,1191,
2017,884303,Federal Reserve System,FRS,2,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,200,Preapproval was not requested,2,Application denied by financial institution,3,"Albany, Schenectady, Troy - NY",10580,New York,NY,36,Albany County,1,137.07,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,68,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,Mortgage insurance denied,8,Credit history,3,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6070,18.02000046,83100,131,2120,2260,
2017,112837,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,486,Preapproval was requested,1,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1104,Not Hispanic or Latino,2,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,84,Loan was not originated or was not sold in calendar year covered by register,0,Other,9,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4948,98.44000244,73700,89.58000183,476,1191,
2017,7197000003,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,574,Preapproval was not requested,2,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,504,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,91,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4824,48.75999832,73700,130.9700012,733,432,
2017,413208,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,383,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Queens County,81,626,Not Hispanic or Latino,2,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,64,Loan was not originated or was not sold in calendar year covered by register,0,Credit application incomplete,7,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3096,98.29000092,73700,132.4299927,744,917,
2017,617677,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,280,Preapproval was not requested,2,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1078,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,144,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3988,97.47000122,73700,98.45999908,957,857,
2017,451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,492,Not applicable,3,Application denied by financial institution,3,"Nassau County, Suffolk County - NY",35004,New York,NY,36,Nassau County,59,4131,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,195,Loan was not originated or was not sold in calendar year covered by register,0,Other,9,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5040,15.43999958,110800,98.19999695,1392,1565,
2017,413208,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,124,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1078,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,43,Loan was not originated or was not sold in calendar year covered by register,0,Credit application incomplete,7,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3988,97.47000122,73700,98.45999908,957,857,
2017,451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,1330,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,499,"Information not provided by applicant in mail, Internet, or telephone application",3,Not Hispanic or Latino,2,Asian,2,,,,,,,,,Asian,2,,,,,,,,,Male,1,Male,1,351,Loan was not originated or was not sold in calendar year covered by register,0,"Insufficient cash (downpayment, closing costs)",5,Debt-to-income ratio,1,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,1728,26.62000084,73700,97.76000214,283,339,
2017,7197000003,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,175,Preapproval was not requested,2,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Bronx County,5,216.02,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,52,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6243,98.63999939,73700,63.81000137,344,245,
2017,476810,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,1237,Preapproval was not requested,2,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,496,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,814,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3933,64.66000366,73700,98,435,1115,
2017,17587,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,480,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Bronx County,5,409,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,112,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3048,88.08999634,73700,77.38999939,241,65,
2017,451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,83,Not applicable,3,Application denied by financial institution,3,,,New York,NY,36,Delaware County,25,9714,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,,Loan was not originated or was not sold in calendar year covered by register,0,Other,9,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3148,5.110000134,62500,108.5899963,991,2675,
2017,656733,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,476,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Orange County,71,150.04,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,259,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6727,4.909999847,73700,29.84000015,378,257,
2017,17587,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,1424,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,485,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,335,Loan was not originated or was not sold in calendar year covered by register,0,Other,9,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3034,54.34999847,73700,107.6399994,174,430,
2017,17587,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,1400,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,485,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,237,Loan was not originated or was not sold in calendar year covered by register,0,Unverifiable information,6,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3034,54.34999847,73700,107.6399994,174,430,
2017,451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,384,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,484,Not Hispanic or Latino,2,No co-applicant,5,Asian,2,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,102,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6210,20.60000038,73700,66.54000092,414,690,
2017,7197000003,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,87,Preapproval was not requested,2,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Orange County,71,152,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,40,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,10019,35.25,73700,143.5700073,2620,3255,
2017,22-3039688,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,92,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Queens County,81,460,Not Hispanic or Latino,2,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,44,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5817,99.44999695,73700,42.45999908,281,421,
2017,33-0941669,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,350,Not applicable,3,Application denied by financial institution,3,"Dutchess County, Putnam County - NY",20524,New York,NY,36,Dutchess County,27,801.04,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,145,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3531,12.48999977,97100,114.4700012,1136,1338,
2017,852218,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,230,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Queens County,81,220.02,Not Hispanic or Latino,2,Not Hispanic or Latino,2,Asian,2,,,,,,,,,Asian,2,,,,,,,,,Male,1,Female,2,71,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6421,62.56000137,73700,110.2699966,1057,903,
2017,852218,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,1290,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,New York County,61,139,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,359,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,8252,32.72000122,73700,175.6499939,1558,66,
2017,852218,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,300,Not applicable,3,Application denied by financial institution,3,"Nassau County, Suffolk County - NY",35004,New York,NY,36,Nassau County,59,4140.01,Not Hispanic or Latino,2,Not Hispanic or Latino,2,Black or African American,3,,,,,,,,,Black or African American,3,,,,,,,,,Male,1,Male,1,80,Loan was not originated or was not sold in calendar year covered by register,0,Credit history,3,Collateral,4,Other,9,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4176,98.54000092,110800,89,897,1178,
2017,22-3798625,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,250,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,New York County,61,126,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,95,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,12427,23.61000061,73700,346.9899902,2402,115,
2017,476810,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,203,Preapproval was requested,1,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Queens County,81,871,Not Hispanic or Latino,2,No co-applicant,5,Asian,2,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,47,Loan was not originated or was not sold in calendar year covered by register,0,Credit history,3,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2316,95.68000031,73700,49.04999924,138,105,
2017,852218,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,1190,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,New York County,61,134,Not Hispanic or Latino,2,Not Hispanic or Latino,2,Asian,2,,,,,,,,,Asian,2,,,,,,,,,Male,1,Female,2,274,Loan was not originated or was not sold in calendar year covered by register,0,"Insufficient cash (downpayment, closing costs)",5,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,11688,20.13999939,73700,248.6100006,2417,588,
2017,7197000003,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,244,Preapproval was not requested,2,Application denied by financial institution,3,"Dutchess County, Putnam County - NY",20524,New York,NY,36,Putnam County,79,111,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,59,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5944,12.06000042,97100,137.1499939,1606,1762,
2017,25093,Office of the Comptroller of the Currency,OCC,1,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,480,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,New York County,61,73,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,100,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5677,16.70000076,73700,226.4900055,1035,647,
2017,451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,242,Not applicable,3,Application denied by financial institution,3,"Nassau County, Suffolk County - NY",35004,New York,NY,36,Nassau County,59,4145.02,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,134,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4325,45.97000122,110800,101.7799988,1463,1502,
2017,3418909997,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,114,Preapproval was not requested,2,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1018,Not Hispanic or Latino,2,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,47,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,1718,97.95999908,73700,133.5899963,492,522,
2017,7197000003,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,558,Preapproval was not requested,2,Application denied by financial institution,3,"Nassau County, Suffolk County - NY",35004,New York,NY,36,Nassau County,59,4161,Not Hispanic or Latino,2,No co-applicant,5,Asian,2,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,150,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6699,5.690000057,110800,98.87000275,1878,2371,
2017,58054,Federal Deposit Insurance Corporation,FDIC,3,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,1250,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,454,Not applicable,4,No co-applicant,5,Not applicable,7,,,,,,,,,No co-applicant,8,,,,,,,,,Not applicable,4,No co-applicant,5,,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,1896,23.72999954,73700,99.76000214,236,538,
2017,38-2750395,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,493,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Bronx County,5,256,Not Hispanic or Latino,2,No co-applicant,5,Asian,2,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,68,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,1831,77.01000214,73700,50.99000168,198,409,
2017,451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,280,Not applicable,3,Application denied by financial institution,3,"Nassau County, Suffolk County - NY",35004,New York,NY,36,Nassau County,59,4062.01,Not Hispanic or Latino,2,No co-applicant,5,Asian,2,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,93,Loan was not originated or was not sold in calendar year covered by register,0,"Insufficient cash (downpayment, closing costs)",5,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2990,59.77000046,110800,87.98999786,785,851,
2017,451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,130,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1018,Not Hispanic or Latino,2,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,48,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,1718,97.95999908,73700,133.5899963,492,522,
2017,480228,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,400,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,447,Not Hispanic or Latino,2,No co-applicant,5,Asian,2,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,120,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2480,76.12999725,73700,64.19000244,78,117,
2017,476810,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,269,Preapproval was not requested,2,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Bronx County,5,4,Not Hispanic or Latino,2,Not Hispanic or Latino,2,Asian,2,,,,,,,,,Asian,2,,,,,,,,,Female,2,Male,1,455,Loan was not originated or was not sold in calendar year covered by register,0,"Insufficient cash (downpayment, closing costs)",5,Credit history,3,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5915,96.40000153,73700,103.5800018,1403,2071,
2017,476810,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,89,Preapproval was requested,1,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,443,Not Hispanic or Latino,2,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,49,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5378,85.84999847,73700,69.31999969,95,808,
